belongs_to_collection,nro_peliculas,total_revenue,average_revenue
Les Ripoux - Trilogie,3,0.0,0.0
Samurai Collection,3,0.0,0.0
From Dusk Till Dawn Collection,3,25836616.0,8612205.333333334
Hanzo the Razor Collection,3,0.0,0.0
Maigret (Rowan Atkinson) Collection,3,0.0,0.0
La Trilogie Marseillaise,3,0.0,0.0
Infernal Affairs Collection,3,8708932.0,2902977.3333333335
Rampage Collection,3,0.0,0.0
Iron Man Collection,3,2424547547.0,808182515.6666666
Slap Shot Collection,3,28000000.0,9333333.333333334
Ranma Collection,3,0.0,0.0
Ip Man Collection,3,214733351.0,71577783.66666667
Star Trek: Alternate Reality Collection,3,1196517508.0,398839169.3333333
Insidious Collection,3,201313001.0,67104333.666666664
Sissi Collection,3,0.0,0.0
Mimic Collection,3,25480490.0,8493496.666666666
Problem Child Collection,3,0.0,0.0
Mark Collection,3,0.0,0.0
In the Name of the King Collection,3,0.0,0.0
Stargate SG-1 Collection,3,8900000.0,2966666.6666666665
Predator Collection,3,281604679.0,93868226.33333333
Missing in Action Collection,3,39761759.0,13253919.666666666
Killjoy,3,0.0,0.0
StreetDance Collection,3,18197477.0,6065825.666666667
I Spit on Your Grave Collection,3,573618.0,191206.0
Stuart Little Collection,3,470092173.0,156697391.0
Porky's Collection,3,180006429.0,60002143.0
It's Alive Collection,3,0.0,0.0
Spud Collection,3,0.0,0.0
The ABCs of Death Collection,3,28831.0,9610.333333333334
Son of Batman Collection,3,0.0,0.0
Jungledyret Hugo Collection,3,0.0,0.0
Jungle Jim Collection,3,0.0,0.0
Meet the Parents Collection,3,1157737569.0,385912523.0
Mega Shark Collection,3,0.0,0.0
Puella Magi Madoka Magica: The Movie,3,12947880.0,4315960.0
Men In Black Collection,3,1655236118.0,551745372.6666666
Joy Ride Collection,3,36642838.0,12214279.333333334
Snow Queen Collection,3,12400000.0,4133333.3333333335
Sometimes They Come Back Collection,3,0.0,0.0
Qatsi Collection,3,2326424.0,775474.6666666666
Ivan Tsarevich & the Grey Wolf Collection,3,27724000.0,9241333.333333334
K-9 Collection,3,78247647.0,26082549.0
Smokey and the Bandit Collection,3,198549004.0,66183001.333333336
Quatermass (Hammer series),3,0.0,0.0
Johan Falk Collection,3,0.0,0.0
Spider-Man Collection,3,2496346518.0,832115506.0
Psycho Collection,3,81206606.0,27068868.666666668
Jarhead Collection,3,96889998.0,32296666.0
Mexico Trilogy,3,125631947.0,41877315.666666664
Prostokvashino Collection,3,0.0,0.0
Poltergeist Collection,3,177340665.0,59113555.0
I Know What You Did Last Summer Collection,3,165588246.0,55196082.0
Super Giant Collection,3,0.0,0.0
Hatchet Collection,3,52604.0,17534.666666666668
Teenage Mutant Ninja Turtles (Original) Collection,3,322000000.0,107333333.33333333
Hellboy (Animated) Collection,3,0.0,0.0
Shaolin Temple Collection,3,19712261.0,6570753.666666667
Mr. Wong Collection,3,0.0,0.0
Tekken Collection,3,967000.0,322333.3333333333
Heart of Gold Collection,3,43842412.0,14614137.333333334
Tenchi Muyô Collection,3,0.0,0.0
Tetsuo Collection,3,0.0,0.0
Kung Fu Panda Collection,3,1818607666.0,606202555.3333334
Pippi Longstocking,3,0.0,0.0
Swan Princess Series,3,9771658.0,3257219.3333333335
"Murder, She Baked Collection",3,0.0,0.0
Major Korenev Trilogy,3,5166340.0,1722113.3333333333
Resident Evil: Biohazard,3,0.0,0.0
Harold & Kumar Collection,3,102817243.0,34272414.333333336
My Little Pony: Equestria Girls Collection,3,0.0,0.0
Per Fly trilogien (Samling),3,0.0,0.0
Pee-wee's Collection,3,56062662.0,18687554.0
That's Entertainment Collection,3,0.0,0.0
The 36th Chamber of Shaolin Collection,3,0.0,0.0
Shark.Attack,3,0.0,0.0
Henry Fool Collection,3,1334786.0,444928.6666666667
Teenage Apocalypse Trilogy,3,27354.0,9118.0
Pitbull - Kolekcja,3,0.0,0.0
Silence of God Trilogy by Ingmar Bergman,3,0.0,0.0
Maniac Cop Collection,3,0.0,0.0
Re-Animator Collection,3,2023414.0,674471.3333333334
Rebuild of Evangelion,3,101873825.0,33957941.666666664
Kizumonogatari,3,0.0,0.0
Hostel Collection,3,116198455.0,38732818.333333336
Taken Collection,3,928743298.0,309581099.3333333
Shiloh Collection,3,0.0,0.0
Tarzan (Animation) Collection,3,448000000.0,149333333.33333334
"Honey, I Shrunk the Kids Collection",3,281386624.0,93795541.33333333
Honey Collection,3,62646763.0,20882254.333333332
Koker Trilogy,3,0.0,0.0
Major League Collection,3,83995773.0,27998591.0
Sharktopus Collection,3,0.0,0.0
"Monsters, Inc. Collection",3,1306375863.0,435458621.0
High School Musical Collection,3,7000000.0,2333333.3333333335
Krrish Collection,3,0.0,0.0
Planet of the Apes (Reboot) Collection,3,1563412714.0,521137571.3333333
Mostly Ghostly Collection,3,0.0,0.0
Housefull Collection,3,0.0,0.0
Flowers in the Attic Collection,3,0.0,0.0
Blair Witch Collection,3,293172994.0,97724331.33333333
Death Race Collection,3,73762516.0,24587505.333333332
Anchorman Collection,3,264223203.0,88074401.0
The Mighty Ducks Collection,3,119317844.0,39772614.666666664
Care Bears Collection,3,2608000.0,869333.3333333334
The Millennium Collection,3,214839043.0,71613014.33333333
Department Q series,3,5900000.0,1966666.6666666667
Anders Matthesen,3,0.0,0.0
Demonic Toys Collection,3,0.0,0.0
The Mummy Collection,3,1250027401.0,416675800.3333333
Trilogy of Life,3,0.0,0.0
The Musketeers Collection,3,0.0,0.0
The Ouija Experiment Collection,3,0.0,0.0
