productora,revenue,nro_peliculas
Newmarket Capital Group,567886969.0,21
Bazelevs Production,677120748.0,21
Myriad Pictures,66087861.0,21
After Dark Films,19991767.0,21
Edward Small Productions,21200000.0,21
Avala Film,5200000.0,21
Cecchi Gori Group Tiger Cinematografica,126147342.0,21
Atlas Entertainment,4781740803.0,21
Tribeca Productions,2042528189.0,21
ZDF/Arte,1054114.0,21
Plan B Entertainment,2163498013.0,21
Reteitalia,3798857.0,21
Orange Cinéma Séries,63851422.0,21
Backup Films,20320324.0,21
Reliance Entertainment,2302232814.0,21
ARTE France Cinéma,1736248.0,21
Alliance Films,489617290.0,21
DisneyToon Studios,417008469.0,21
Yari Film Group,208284290.0,21
Sil-Metropole Organisation,10531001.0,21
RAI Radiotelevisione Italiana,77200000.0,21
Le Pacte,23613052.0,21
HBO,38170403.0,21
CBS Films,616153743.0,21
Gorky Film Studio,2300000.0,21
New Wave Entertainment Television,0.0,21
Robert Simonds Productions,1061994489.0,21
3 Arts Entertainment,1050415510.0,20
Revolution Films,113650372.0,20
Entre Chien et Loup,41911613.0,20
Exclusive Media Group,596819785.0,20
Kings Road Entertainment,64368155.0,20
Imagenation Abu Dhabi FZ,1447227586.0,20
TV Tokyo,408144215.0,20
Les Films Ariane,84000000.0,20
Jersey Films,1191224536.0,20
Sony Pictures Home Entertainment,28400716.0,20
Angoa-Agicoa,4891036.0,20
Motion Picture Corporation of America (MPCA),247276843.0,20
La Petite Reine,408546930.0,20
Cattleya,305914281.0,20
2929 Productions,221515558.0,20
Vides Cinematografica,0.0,20
Marvel Enterprises,6538067117.0,20
Milky Way Image Company,0.0,20
DiNovi Pictures,588046836.0,19
Artémis Productions,82177569.0,19
Medusa Distribuzione,0.0,19
Savoy Pictures,81128918.0,19
AVCO Embassy Pictures,153849767.0,19
Warner Bros. Television,0.0,19
Brightlight Pictures,193797737.0,19
Warner Bros. Pictures,3045386356.0,19
Seven Arts Pictures,126388247.0,19
Daiei Motion Picture Company,96568.0,19
Gary Sanchez Productions,1272994603.0,19
Shochiku,0.0,19
BenderSpink,1451131315.0,19
1492 Pictures,5470573905.0,19
Blue Sky Studios,5274027503.0,19
Davis-Films,1633771658.0,19
The Ladd Company,664952396.0,19
CTB Film Company,4900000.0,19
Goldcrest Films International,265249052.0,19
Madragoa Filmes,0.0,19
American Broadcasting Company (ABC),0.0,19
National Film Board of Canada,0.0,19
Film Workshop,55138764.0,19
BIM Distribuzione,309116107.0,19
Norddeutscher Rundfunk (NDR),123708235.0,19
Dean Hargrove Productions,0.0,19
Insight Film Studios,1300257.0,19
Gorky Film Studios,0.0,19
Polygram Filmed Entertainment,715895849.0,19
Glass Eye Pix,111641.0,19
Tokyo Broadcasting System (TBS),96756862.0,19
Media Programme of the European Community,47662868.0,19
Hollywood Media Bridge,0.0,19
Overseas FilmGroup,2925059.0,19
Sonet Film AB,35512569.0,19
Amicus Productions,0.0,19
Worldview Entertainment,146051234.0,19
Live Entertainment,44847449.0,18
Warner Brothers/Seven Arts,93639514.0,18
Mandate Pictures,873791493.0,18
Scion Films,706029191.0,18
Front Street Pictures,0.0,18
20th Century Fox Home Entertainment,17280326.0,18
Walt Disney Television Animation,290003532.0,18
Mosaic Media Group,1780022587.0,18
LStar Capital,2403353804.0,18
Heyday Films,7920012376.0,18
Euro International Film (EIA),100655.0,18
Morena Films,32556565.0,18
Société Française de Production (SFP),339889.0,18
Likely Story,249818789.0,18
EMI Films,330341757.0,18
Telecinco Cinema,300661182.0,18
TF1,994491923.0,18
Cinema Center Films,31559552.0,18
British Lion Film Corporation,596349.0,18
Filmförderungsanstalt (FFA),285653326.0,18
Hakuhodo DY Media Partners,555465268.0,18
De Laurentiis Entertainment Group (DEG),173604686.0,18
Gramercy Pictures,92910073.0,18
HanWay Films,72873175.0,18
Film Afrika Worldwide,28886719.0,18
Rogue Pictures,595125128.0,18
Mandarin Films,7903504.0,18
Automatik Entertainment,212358494.0,18
